Tiempo;Abs;patogeno;Probiotics;Muestra
1;0.1415;Salmonella;M1;Heces
1;0.1523;Salmonella;M1;Heces
1;0.1493;Salmonella;M1;Heces
1;0.1356;Salmonella;M2;Heces
1;0.1333;Salmonella;M2;Heces
1;0.1392;Salmonella;M2;Heces
1;0.1424;Salmonella;M3;Heces
1;0.1416;Salmonella;M3;Heces
1;0.143;Salmonella;M3;Heces
1;0.1324;Salmonella;M4;Heces
1;0.1251;Salmonella;M4;Heces
1;0.1436;Salmonella;M4;Heces
1;0.1347;Salmonella;M5;Leche
1;0.1396;Salmonella;M5;Leche
1;0.1474;Salmonella;M5;Leche
1;0.1411;Salmonella;M6;Leche
1;0.1415;Salmonella;M6;Leche
1;0.1436;Salmonella;M6;Leche
1;0.1553;Salmonella;M7;Heces
1;0.1622;Salmonella;M7;Heces
1;0.1546;Salmonella;M7;Heces
1;0.1403;Salmonella;M8;Leche
1;0.1451;Salmonella;M8;Leche
1;0.1729;Salmonella;M8;Leche
1;0.1818;Salmonella;M9;Heces
1;0.1754;Salmonella;M9;Heces
1;0.1726;Salmonella;M9;Heces
1;0.1573;Salmonella;M10;Heces
1;0.1604;Salmonella;M10;Heces
1;0.1563;Salmonella;M10;Heces
1;0.1716;Salmonella;M11;Leche
1;0.1786;Salmonella;M11;Leche
1;0.1755;Salmonella;M11;Leche
1;0.1668;Salmonella;M12;Leche
1;0.1788;Salmonella;M12;Leche
1;0.17;Salmonella;M12;Leche
1;0.2168;Salmonella;M13;Heces
1;0.2129;Salmonella;M13;Heces
1;0.23;Salmonella;M13;Heces
1;0.1599;Salmonella;M14;Heces
1;0.156;Salmonella;M14;Heces
1;0.1724;Salmonella;M14;Heces
1;0.1185;Salmonella;M15;Leche
1;0.1194;Salmonella;M15;Leche
1;0.1182;Salmonella;M15;Leche
1;0.172;Salmonella;M16;Heces
1;0.1703;Salmonella;M16;Heces
1;0.173;Salmonella;M16;Heces
1;0.1889;Salmonella;M17;Heces
1;0.189;Salmonella;M17;Heces
1;0.2038;Salmonella;M17;Heces
1;0.1611;Salmonella;M18;Heces
1;0.1614;Salmonella;M18;Heces
1;0.1501;Salmonella;M18;Heces
1;0.1637;Salmonella;M19;Heces
1;0.1698;Salmonella;M19;Heces
1;0.1437;Salmonella;M19;Heces
1;0.1759;Salmonella;M20;Heces
1;0.1692;Salmonella;M20;Heces
1;0.1356;Salmonella;M20;Heces
1;0.165;Salmonella;M21;Leche
1;0.1684;Salmonella;M21;Leche
1;0.1578;Salmonella;M21;Leche
